Map level of detail,Crime Category,Totals and new cats,First aggragation,Incidents values,Date,Crime category selection,Station
Olifantsfontein,Sexual Assault,Total contact crime,Total sexual offences,3,01/01/2023,Total contact crime,OLIFANTSFONTEIN
Kameeldrift,Sexual Assault,Total contact crime,Total sexual offences,6,01/01/2023,Total contact crime,KAMEELDRIFT
Or Tambo Intern Airp,Sexual Assault,Total contact crime,Total sexual offences,1,01/01/2023,Total contact crime,OR TAMBO INTERN AIRP
Pretoria Central,Sexual Assault,Total contact crime,Total sexual offences,13,01/01/2023,Total contact crime,PRETORIA CENTRAL
Springs,Sexual Assault,Total contact crime,Total sexual offences,27,01/01/2023,Total contact crime,SPRINGS
Sophia Town,Sexual Assault,Total contact crime,Total sexual offences,16,01/01/2023,Total contact crime,SOPHIA TOWN
Randfontein,Sexual Assault,Total contact crime,Total sexual offences,16,01/01/2023,Total contact crime,RANDFONTEIN
Roodepoort,Sexual Assault,Total contact crime,Total sexual offences,34,01/01/2023,Total contact crime,ROODEPOORT
Soshanguve,Sexual Assault,Total contact crime,Total sexual offences,21,01/01/2023,Total contact crime,SOSHANGUVE
Vosloorus,Sexual Assault,Total contact crime,Total sexual offences,16,01/01/2023,Total contact crime,VOSLOORUS
Pretoria North,Sexual Assault,Total contact crime,Total sexual offences,13,01/01/2023,Total contact crime,PRETORIA NORTH
Rietgat,Sexual Assault,Total contact crime,Total sexual offences,14,01/01/2023,Total contact crime,RIETGAT
Protea,Sexual Assault,Total contact crime,Total sexual offences,16,01/01/2023,Total contact crime,PROTEA
Pretoria West,Sexual Assault,Total contact crime,Total sexual offences,14,01/01/2023,Total contact crime,PRETORIA WEST
Sinoville,Sexual Assault,Total contact crime,Total sexual offences,15,01/01/2023,Total contact crime,SINOVILLE
Sandton,Sexual Assault,Total contact crime,Total sexual offences,20,01/01/2023,Total contact crime,SANDTON
Vereeniging,Sexual Assault,Total contact crime,Total sexual offences,13,01/01/2023,Total contact crime,VEREENIGING
Reigerpark,Sexual Assault,Total contact crime,Total sexual offences,7,01/01/2023,Total contact crime,REIGERPARK
Jabulani,Sexual Assault,Total contact crime,Total sexual offences,15,01/01/2023,Total contact crime,JABULANI
Primrose,Sexual Assault,Total contact crime,Total sexual offences,7,01/01/2023,Total contact crime,PRIMROSE
Yeoville,Sexual Assault,Total contact crime,Total sexual offences,9,01/01/2023,Total contact crime,YEOVILLE
Wierdabrug,Sexual Assault,Total contact crime,Total sexual offences,19,01/01/2023,Total contact crime,WIERDABRUG
Pretoria Moot,Sexual Assault,Total contact crime,Total sexual offences,10,01/01/2023,Total contact crime,PRETORIA MOOT
Silverton,Sexual Assault,Total contact crime,Total sexual offences,16,01/01/2023,Total contact crime,SILVERTON
Randburg,Sexual Assault,Total contact crime,Total sexual offences,7,01/01/2023,Total contact crime,RANDBURG
Vanderbijlpark,Sexual Assault,Total contact crime,Total sexual offences,16,01/01/2023,Total contact crime,VANDERBIJLPARK
Ivory Park,Sexual Assault,Total contact crime,Total sexual offences,9,01/01/2023,Total contact crime,IVORY PARK
Putfontein,Sexual Assault,Total contact crime,Total sexual offences,9,01/01/2023,Total contact crime,PUTFONTEIN
Sebokeng,Sexual Assault,Total contact crime,Total sexual offences,12,01/01/2023,Total contact crime,SEBOKENG
Rabie Ridge,Sexual Assault,Total contact crime,Total sexual offences,21,01/01/2023,Total contact crime,RABIE RIDGE
Sandringham,Sexual Assault,Total contact crime,Total sexual offences,3,01/01/2023,Total contact crime,SANDRINGHAM
Villieria,Sexual Assault,Total contact crime,Total sexual offences,14,01/01/2023,Total contact crime,VILLIERIA
Ratanda,Sexual Assault,Total contact crime,Total sexual offences,4,01/01/2023,Total contact crime,RATANDA
Zonkizizwe,Sexual Assault,Total contact crime,Total sexual offences,8,01/01/2023,Total contact crime,ZONKIZIZWE
Wonderboompoort,Sexual Assault,Total contact crime,Total sexual offences,14,01/01/2023,Total contact crime,WONDERBOOMPOORT
Sebenza,Sexual Assault,Total contact crime,Total sexual offences,2,01/01/2023,Total contact crime,SEBENZA
Wedela,Sexual Assault,Total contact crime,Total sexual offences,1,01/01/2023,Total contact crime,WEDELA
Rosebank,Sexual Assault,Total contact crime,Total sexual offences,0,01/01/2023,Total contact crime,ROSEBANK
Westonaria,Sexual Assault,Total contact crime,Total sexual offences,2,01/01/2023,Total contact crime,WESTONARIA
Sharpeville,Sexual Assault,Total contact crime,Total sexual offences,3,01/01/2023,Total contact crime,SHARPEVILLE
Welbekend,Sexual Assault,Total contact crime,Total sexual offences,2,01/01/2023,Total contact crime,WELBEKEND
Vaal Marina,Sexual Assault,Total contact crime,Total sexual offences,2,01/01/2023,Total contact crime,VAAL MARINA
Boksburg North,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,97,01/01/2023,Total contact crime,BOKSBURG NORTH
Akasia,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,87,01/01/2023,Total contact crime,AKASIA
Mamelodi East,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,65,01/01/2023,Total contact crime,MAMELODI EAST
Alberton,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,68,01/01/2023,Total contact crime,ALBERTON
Midrand,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,75,01/01/2023,Total contact crime,MIDRAND
Bronkhorstspruit,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,61,01/01/2023,Total contact crime,BRONKHORSTSPRUIT
Booysens,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,90,01/01/2023,Total contact crime,BOOYSENS
Moffatview,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,66,01/01/2023,Total contact crime,MOFFATVIEW
Benoni,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,71,01/01/2023,Total contact crime,BENONI
Mabopane,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,44,01/01/2023,Total contact crime,MABOPANE
Brakpan,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,85,01/01/2023,Total contact crime,BRAKPAN
Lyttelton,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,41,01/01/2023,Total contact crime,LYTTELTON
Moroka,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,53,01/01/2023,Total contact crime,MOROKA
Mamelodi,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,36,01/01/2023,Total contact crime,MAMELODI
Atteridgeville,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,56,01/01/2023,Total contact crime,ATTERIDGEVILLE
Bedfordview,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,53,01/01/2023,Total contact crime,BEDFORDVIEW
Mondeor,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,47,01/01/2023,Total contact crime,MONDEOR
Meadowlands,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,39,01/01/2023,Total contact crime,MEADOWLANDS
Brooklyn,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,25,01/01/2023,Total contact crime,BROOKLYN
Boksburg,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,43,01/01/2023,Total contact crime,BOKSBURG
Alexandra,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,37,01/01/2023,Total contact crime,ALEXANDRA
Brixton,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,34,01/01/2023,Total contact crime,BRIXTON
Bramley,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,39,01/01/2023,Total contact crime,BRAMLEY
Bekkersdal,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,32,01/01/2023,Total contact crime,BEKKERSDAL
Boschkop,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,18,01/01/2023,Total contact crime,BOSCHKOP
Brackendowns,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,19,01/01/2023,Total contact crime,BRACKENDOWNS
Actonville,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,28,01/01/2023,Total contact crime,ACTONVILLE
Meyerton,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,28,01/01/2023,Total contact crime,MEYERTON
Magaliesburg,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,2,01/01/2023,Total contact crime,MAGALIESBURG
Boipatong,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,6,01/01/2023,Total contact crime,BOIPATONG
Germiston,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,111,01/01/2023,Total contact crime,GERMISTON
Honeydew,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,69,01/01/2023,Total contact crime,HONEYDEW
Hillbrow,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,68,01/01/2023,Total contact crime,HILLBROW
Carletonville,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,54,01/01/2023,Total contact crime,CARLETONVILLE
Cleveland,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,77,01/01/2023,Total contact crime,CLEVELAND
Ga-Rankuwa,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,57,01/01/2023,Total contact crime,GA-RANKUWA
Evaton,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,82,01/01/2023,Total contact crime,EVATON
Douglasdale,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,53,01/01/2023,Total contact crime,DOUGLASDALE
Elsburg,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,38,01/01/2023,Total contact crime,ELSBURG
Hercules,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,51,01/01/2023,Total contact crime,HERCULES
Florida,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,71,01/01/2023,Total contact crime,FLORIDA
Eldorado Park,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,54,01/01/2023,Total contact crime,ELDORADO PARK
Diepkloof,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,77,01/01/2023,Total contact crime,DIEPKLOOF
De Deur,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,30,01/01/2023,Total contact crime,DE DEUR
Dobsonville,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,27,01/01/2023,Total contact crime,DOBSONVILLE
Dawn Park,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,39,01/01/2023,Total contact crime,DAWN PARK
Edenvale,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,36,01/01/2023,Total contact crime,EDENVALE
Ennerdale,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,31,01/01/2023,Total contact crime,ENNERDALE
Fochville,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,31,01/01/2023,Total contact crime,FOCHVILLE
Diepsloot,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,34,01/01/2023,Total contact crime,DIEPSLOOT
Heidelberg (Gp),Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,21,01/01/2023,Total contact crime,HEIDELBERG (GP)
Edenpark,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,34,01/01/2023,Total contact crime,EDENPARK
Crystalpark,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,35,01/01/2023,Total contact crime,CRYSTALPARK
Etwatwa,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,28,01/01/2023,Total contact crime,ETWATWA
Cullinan,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,40,01/01/2023,Total contact crime,CULLINAN
Hammanskraal,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,25,01/01/2023,Total contact crime,HAMMANSKRAAL
Garsfontein,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,22,01/01/2023,Total contact crime,GARSFONTEIN
Daveyton,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,22,01/01/2023,Total contact crime,DAVEYTON
Eersterust,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,18,01/01/2023,Total contact crime,EERSTERUST
Ekangala,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,22,01/01/2023,Total contact crime,EKANGALA
Fairland,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,12,01/01/2023,Total contact crime,FAIRLAND
Doornkop,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,21,01/01/2023,Total contact crime,DOORNKOP
Duduza,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,13,01/01/2023,Total contact crime,DUDUZA
Erasmia,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,25,01/01/2023,Total contact crime,ERASMIA
Dube,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,2,01/01/2023,Total contact crime,DUBE
Dunnottar,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,7,01/01/2023,Total contact crime,DUNNOTTAR
Devon,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,7,01/01/2023,Total contact crime,DEVON
Hekpoort,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,1,01/01/2023,Total contact crime,HEKPOORT
Cosmo City,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,26,01/01/2023,Total contact crime,COSMO CITY
Sunnyside,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,50,01/01/2023,Total contact crime,SUNNYSIDE
Tarlton,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,6,01/01/2023,Total contact crime,TARLTON
Temba,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,99,01/01/2023,Total contact crime,TEMBA
Tembisa,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,76,01/01/2023,Total contact crime,TEMBISA
Tembisa South,Robbery at non-residential premises,Total contact crime,Robbery with aggravating circumstances,17,01/01/2023,Total contact crime,TEMBISA SOUTH
